plant_code,plant_name,state,nameplate_mw,distance_km,nearest_plant,capacity_w,transport_mode,freight_cost_per_w,total_freight_cost,co2_emissions_tons,carbon_cost,distance_bin
63753,"Platteville Solar CSG, LLC",CO,1.3,1639.1,Louisiana,1300000.0,Rail,0.0065563999999999996,8523.32,46.87826,3984.6521,1500-2000km
63764,Elm Branch Solar 1,TX,134.7,531.2,Louisiana,134700000.0,Rail,0.0021248,286210.56,1574.15808,133803.4368,500-1000km
63765,Black Bear Solar 1,AL,100.0,282.2,Alabama,100000000.0,Truck,0.0022576,225759.99999999997,1918.96,163111.6,0-500km
63766,Happy Solar 1,AR,95.0,403.9,Alabama,95000000.0,Truck,0.0032311999999999996,306963.99999999994,2609.1940000000004,221781.49000000005,0-500km
63769,Briar Creek Solar 1,TX,127.0,512.8,Louisiana,127000000.0,Rail,0.0020511999999999996,260502.39999999994,1432.7631999999996,121784.87199999997,500-1000km
63770,Bighorn Solar 1,CO,240.0,1491.0,Louisiana,240000000.0,Rail,0.005964,1431360.0,7872.48,669160.7999999999,1000-1500km
63774,Mount Kisco Landfill Solar & Storage CSG,NY,1.0,814.4,Ohio,1000000.0,Rail,0.0032576,3257.6,17.9168,1522.9279999999999,500-1000km
63801,St. Joseph Solar,IN,20.0,207.0,Ohio,20000000.0,Truck,0.001656,33120.0,281.52000000000004,23929.200000000004,0-500km
63814,SR Odom,GA,20.0,522.7,Alabama,20000000.0,Rail,0.0020908000000000003,41816.00000000001,229.988,19548.98,500-1000km
63835,"Pilot Mountain Solar, LLC",NC,4.9,651.5,Ohio,4900000.0,Rail,0.002606,12769.4,70.2317,5969.6945000000005,500-1000km
63836,"Benson Solar, LLC",NC,4.9,799.1,Ohio,4900000.0,Rail,0.0031964,15662.359999999999,86.14298000000001,7322.153300000001,500-1000km
63929,Troy Solar,IN,50.4,381.7,Ohio,50400000.0,Truck,0.0030535999999999996,153901.43999999997,1308.16224,111193.79040000001,0-500km
63965,"Danville Farm, LLC",VA,12.0,665.6,Ohio,12000000.0,Rail,0.0026624,31948.800000000003,175.7184,14936.064,500-1000km
63976,Bay Tree,NC,70.1,813.1,Ohio,70100000.0,Rail,0.0032524,227993.24,1253.96282,106586.8397,500-1000km
64001,"Camellia Solar, LLC",MN,1.0,1046.4,Ohio,1000000.0,Rail,0.0041856,4185.6,23.0208,1956.768,1000-1500km
64002,"Buttercup Solar, LLC",NC,5.0,851.2,Ohio,5000000.0,Rail,0.0034048,17024.0,93.63199999999999,7958.719999999999,500-1000km
64010,"Energix Hollyfield, LLC",VA,13.0,696.6,Ohio,13000000.0,Rail,0.0027864,36223.200000000004,199.22760000000002,16934.346,500-1000km
